Eclipse Type,Date,Time,Geographic Region of Eclipse Visibility
Lunar,1/9/2001,20:21:40,"e Americas, Europe, Africa, Asia"
Solar,6/21/2001,12:03:46,"e S. America, Africa"
Lunar,7/5/2001,14:56:23,"e Africa, Asia, Aus., Pacific"
Solar,12/14/2001,20:53:01,"N. & C. America, nw S. America"
Lunar,12/30/2001,10:30:22,"e Asia, Aus., Pacific, Americas"
Lunar,5/26/2002,12:04:26,"e Asia, Aus., Pacific, w Americas"
Solar,6/10/2002,23:45:22,"e Asia, Australia, w N. America"
Lunar,6/24/2002,21:28:13,"S. America, Europe, Africa, c Asia, Aus."
Lunar,11/20/2002,1:47:40,"Americas, Europe, Africa, e Asia"
Solar,12/4/2002,7:32:15,"s Africa, Antarctica, Indonesia, Australia"
Lunar,5/16/2003,3:41:13,"c Pacific, Americas, Europe, Africa"
Solar,5/31/2003,4:09:23,"Europe, Asia, nw N. America"
Lunar,11/9/2003,1:19:38,"Americas, Europe, Africa, c Asia"
Solar,11/23/2003,22:50:22,"Australia, N. Z., Antarctica, s S. America"
Solar,4/19/2004,13:35:05,"Antarctica, s Africa"
Lunar,5/4/2004,20:31:17,"S. America, Europe, Africa, Asia, Aus."
Solar,10/14/2004,3:00:23,"ne Asia, Hawaii, Alaska"
Lunar,10/28/2004,3:05:11,"Americas, Europe, Africa, c Asia"
Solar,4/8/2005,20:36:50,"N. Zealand, N. & S. America"
Lunar,4/24/2005,9:55:55,"e Asia, Aus., Pacific, Americas"
Solar,10/3/2005,10:32:47,"Europe, Africa, s Asia"
Lunar,10/17/2005,12:04:27,"Asia, Aus., Pacific, North America"
Lunar,3/14/2006,23:48:34,"Americas, Europe, Africa, Asia"
Solar,3/29/2006,10:12:22,"Africa, Europe, w Asia"
Lunar,9/7/2006,18:52:25,"Europe, Africa, Asia, Aus."
Solar,9/22/2006,11:41:16,"S. America, w Africa, Antarctica"
Lunar,3/3/2007,23:21:59,"Americas, Europe, Africa, Asia"
Solar,3/19/2007,2:32:57,"Asia, Alaska"
Lunar,8/28/2007,10:38:27,"e Asia, Aus., Pacific, Americas"
Solar,9/11/2007,12:32:24,"S. America, Antarctica"
Solar,2/7/2008,3:56:10,"Antarctica, e Australia, N. Zealand"
Lunar,2/21/2008,3:27:09,"Americas, Europe, Africa, c Atlantic"
Solar,8/1/2008,10:22:12,"ne N. America, Europe, Asia"
Lunar,8/16/2008,21:11:12,"S. America, Europe, Africa, Asia, Aus."
Solar,1/26/2009,7:59:45,"s Africa, Antarctica, se Asia, Australia"
Lunar,2/9/2009,14:39:22,"e Europe, Asia, Aus., Pacific, w N.A."
Lunar,7/7/2009,9:39:43,"Aus., Pacific, Americas"
Solar,7/22/2009,2:36:25,"e Asia, Pacific Ocean, Hawaii"
Lunar,8/6/2009,0:40:18,"Americas, Europe, Africa, w Asia"
Lunar,12/31/2009,19:23:46,"Europe, Africa, Asia, Aus."
Solar,1/15/2010,7:07:39,"Africa, Asia"
Lunar,6/26/2010,11:39:34,"e Asia, Aus., Pacific, w Americas"
Solar,7/11/2010,19:34:38,s S. America
Lunar,12/21/2010,8:18:04,"e Asia, Aus., Pacific, Americas, Europe"
Solar,1/4/2011,8:51:42,"Europe, Africa, c Asia"
Solar,6/1/2011,21:17:18,"e Asia, n N. America, Iceland"
Lunar,6/15/2011,20:13:43,"S.America, Europe, Africa, Asia, Aus."
Solar,7/1/2011,8:39:30,s Indian Ocean
Solar,11/25/2011,6:21:24,"s Africa, Antarctica, Tasmania, N.Z."
Lunar,12/10/2011,14:32:56,"Europe, e Africa, Asia, Aus., Pacific, N.A."
Solar,5/20/2012,23:53:53,"Asia, Pacific, N. America"
Lunar,6/4/2012,11:04:20,"Asia, Aus., Pacific, Americas"
Solar,11/13/2012,22:12:55,"Australia, N.Z., s Pacific, s S. America"
Lunar,11/28/2012,14:34:07,"Europe, e Africa, Asia, Aus., Pacific, N.A."
Lunar,4/25/2013,20:08:38,"Europe, Africa, Asia, Aus."
Solar,5/10/2013,0:26:20,"Australia, N.Z., c Pacific"
Lunar,5/25/2013,4:11:06,"Americas, Africa"
Lunar,10/18/2013,23:51:25,"Americas, Europe, Africa, Asia"
Solar,11/3/2013,12:47:36,"e Americas, s Europe, Africa"
Lunar,4/15/2014,7:46:48,"Aus., Pacific, Americas"
Solar,4/29/2014,6:04:32,"s Indian, Australia, Antarctica"
Lunar,10/8/2014,10:55:44,"Asia, Aus., Pacific, Americas"
Solar,10/23/2014,21:45:39,"n Pacific, N. America"
Solar,3/20/2015,9:46:47,"Iceland, Europe, n Africa, n Asia"
Lunar,4/4/2015,12:01:24,"Asia, Aus., Pacific, Americas"
Solar,9/13/2015,6:55:19,"s Africa, s Indian, Antarctica"
Lunar,9/28/2015,2:48:17,"e Pacific, Americas, Europe, Africa, w Asia"
Solar,3/9/2016,1:58:19,"e Asia, Australia, Pacific"
Lunar,3/23/2016,11:48:21,"Asia, Aus., Pacific, w Americas"
Solar,9/1/2016,9:08:02,"Africa, Indian Ocean"
Lunar,9/16/2016,18:55:27,"Europe, Africa, Asia, Aus., w Pacific"
Lunar,2/11/2017,0:45:03,"Americas, Europe, Africa, Asia"
Solar,2/26/2017,14:54:32,"s S. America, Atlantic, Africa, Antarctica"
Lunar,8/7/2017,18:21:38,"Europe, Africa, Asia, Aus."
Solar,8/21/2017,18:26:40,"N. America, n S. America"
Lunar,1/31/2018,13:31:00,"Asia, Aus., Pacific, w N.America"
Solar,2/15/2018,20:52:33,"Antarctica, s S. America"
Solar,7/13/2018,3:02:16,s Australia
Lunar,7/27/2018,20:22:54,"S.America, Europe, Africa, Asia, Aus."
Solar,8/11/2018,9:47:28,"n Europe, ne Asia"
Solar,1/6/2019,1:42:38,"ne Asia, n Pacific"
Lunar,1/21/2019,5:13:27,"c Pacific, Americas, Europe, Africa"
Solar,7/2/2019,19:24:07,"s Pacific, S. America"
Lunar,7/16/2019,21:31:55,"S.America, Europe, Africa, Asia, Aus."
Solar,12/26/2019,5:18:53,"Asia, Australia"
Lunar,1/10/2020,19:11:11,"Europe, Africa, Asia, Aus."
Lunar,6/5/2020,19:26:14,"Europe, Africa, Asia, Aus."
Solar,6/21/2020,6:41:15,"Africa, se Europe, Asia"
Lunar,7/5/2020,4:31:12,"Americas, sw Europe, Africa"
Lunar,11/30/2020,9:44:01,"Asia, Aus., Pacific, Americas"
Solar,12/14/2020,16:14:39,"Pacific, s S. America, Antarctica"
Lunar,5/26/2021,11:19:53,"e Asia, Australia, Pacific, Americas"
Solar,6/10/2021,10:43:06,"n N. America, Europe, Asia"
Lunar,11/19/2021,9:04:06,"Americas, n Europe, e Asia, Australia, Pacific"
Solar,12/4/2021,7:34:38,"Antarctica, S. Africa, s Atlantic"
