TypeAndDate,Duration,Year
Total: 2001 Jan 09,11760,2001
Partial: 2001 Jul 05,9540,2001.3
Penumbral: 2001 Dec 30,0,2001.6
Penumbral: 2002 May 26,0,2002
Penumbral: 2002 Jun 24,0,2002.3
Penumbral: 2002 Nov 20,0,2002.6
Total: 2003 May 16,11640,2003
Total: 2003 Nov 09,12660,2003.5
Total: 2004 May 04,12180,2004
Total: 2004 Oct 28,13140,2004.5
Penumbral: 2005 Apr 24,0,2005
Partial: 2005 Oct 17,3360,2005.5
Penumbral: 2006 Mar 14,0,2006
Partial: 2006 Sep 07,5460,2006.5
Total: 2007 Mar 03,13260,2007
Total: 2007 Aug 28,12720,2007.5
Total: 2008 Feb 21,12300,2008
Partial: 2008 Aug 16,11280,2008.5
Penumbral: 2009 Feb 09,0,2009
Penumbral: 2009 Jul 07,0,2009.25
Penumbral: 2009 Aug 06,0,2009.5
Partial: 2009 Dec 31,3600,2009.75
Partial: 2010 Jun 26,9780,2010
Total: 2010 Dec 21,12540,2010.5
Total: 2011 Jun 15,13140,2011
Total: 2011 Dec 10,12720,2011.5
Partial: 2012 Jun 04,7620,2012
Penumbral: 2012 Nov 28,0,2012.5
Partial: 2013 Apr 25,1620,2013
Penumbral: 2013 May 25,0,2013.3
Penumbral: 2013 Oct 18,0,2013.6
Total: 2014 Apr 15,12900,2014
Total: 2014 Oct 08,12000,2014.5
Total: 2015 Apr 04,12540,2015
Total: 2015 Sep 28,12000,2015.5
Penumbral: 2016 Mar 23,0,2016
Penumbral: 2016 Sep 16,0,2016.5
Peunmbral: 2017 Feb 11,0,2017
Partial: 2017 Aug 07,6900,2017.5
Total: 2018 Jan 31,12180,2018
Total: 2018 Jul 27,14100,2018.5
Total: 2019 Jan 21,11820,2019
Partial: 2019 Jul 16,10680,2019.5
Peunmbral: 2020 Jan 10,0,2020
Penumbral: 2020 Jun 05,0,2020.25
Penumbral: 2020 Jul 05,0,2020.5
Peunumbral: 2020 Nov 30,0,2020.75
Total: 2021 May 26,11220,2021
Partial: 2021 Nov 19,12480,2021.5
